"ï..rev_type","calendar_year","agency","sub_type","sub_type_name","amount"
"Assessed contributions",2011,"WTO","R01","Assessed contributions",205608260
"Assessed contributions",2012,"DPKO","R01","Assessed contributions",7923213000
"Assessed contributions",2012,"FAO","R01","Assessed contributions",511619509
"Assessed contributions",2012,"IAEA","R01","Assessed contributions",428923951.9
"Assessed contributions",2012,"ICAO","R01","Assessed contributions",84495928.03
"Assessed contributions",2012,"ILO","R01","Assessed contributions",430810000
"Assessed contributions",2012,"IMO","R01","Assessed contributions",46861421.67
"Assessed contributions",2012,"IOM","R01","Assessed contributions",41693506
"Assessed contributions",2012,"ITC","R01","Assessed contributions",40490000
"Assessed contributions",2012,"ITU","R01","Assessed contributions",120165770.8
"Assessed contributions",2012,"PAHO","R01","Assessed contributions",106245000
"Assessed contributions",2012,"UN","R01","Assessed contributions",2412019632
"Assessed contributions",2012,"UNEP","R01","Assessed contributions",181791079
"Assessed contributions",2012,"UNESCO","R01","Assessed contributions",352970673
"Assessed contributions",2012,"UNHABITAT","R01","Assessed contributions",12227000
"Assessed contributions",2012,"UNHCR","R01","Assessed contributions",11855800
"Assessed contributions",2012,"UNIDO","R01","Assessed contributions",101561632.7
"Assessed contributions",2012,"UNITAR","R01","Assessed contributions",0
"Assessed contributions",2012,"UNWOMEN","R01","Assessed contributions",7235000
"Assessed contributions",2012,"UNWTO","R01","Assessed contributions",14630626.35
"Assessed contributions",2012,"UPU","R01","Assessed contributions",38463101
"Assessed contributions",2012,"WHO","R01","Assessed contributions",474609150
"Assessed contributions",2012,"WIPO","R01","Assessed contributions",19263724.05
"Assessed contributions",2012,"WMO","R01","Assessed contributions",71628942.8
"Assessed contributions",2012,"WTO","R01","Assessed contributions",214890545.2
"Assessed contributions",2013,"DPKO","R01","Assessed contributions",7257894000
"Assessed contributions",2013,"FAO","R01","Assessed contributions",511619509
"Assessed contributions",2013,"IAEA","R01","Assessed contributions",451549548.5
"Assessed contributions",2013,"ICAO","R01","Assessed contributions",81951959.18
"Assessed contributions",2013,"ILO","R01","Assessed contributions",430834231
"Assessed contributions",2013,"IMO","R01","Assessed contributions",49867691.3
"Assessed contributions",2013,"IOM","R01","Assessed contributions",43254527
"Assessed contributions",2013,"ITC","R01","Assessed contributions",38977000
"Assessed contributions",2013,"ITU","R01","Assessed contributions",123687054
"Assessed contributions",2013,"PAHO","R01","Assessed contributions",106245000
"Assessed contributions",2013,"UN","R01","Assessed contributions",2606141142
"Assessed contributions",2013,"UNEP","R01","Assessed contributions",185153045.1
"Assessed contributions",2013,"UNESCO","R01","Assessed contributions",358615806.6
"Assessed contributions",2013,"UNHABITAT","R01","Assessed contributions",11965000
"Assessed contributions",2013,"UNHCR","R01","Assessed contributions",38995500
"Assessed contributions",2013,"UNIDO","R01","Assessed contributions",105572550.2
"Assessed contributions",2013,"UNWOMEN","R01","Assessed contributions",8004344
"Assessed contributions",2013,"UNWTO","R01","Assessed contributions",16621421.72
"Assessed contributions",2013,"UPU","R01","Assessed contributions",39503816
"Assessed contributions",2013,"WHO","R01","Assessed contributions",474640515
"Assessed contributions",2013,"WIPO","R01","Assessed contributions",19786720.06
"Assessed contributions",2013,"WMO","R01","Assessed contributions",73592275.14
"Assessed contributions",2013,"WTO","R01","Assessed contributions",220405039.3
"Assessed contributions",2014,"DPKO","R01","Assessed contributions",7799929000
"Assessed contributions",2014,"FAO","R01","Assessed contributions",511974000
"Assessed contributions",2014,"IAEA","R01","Assessed contributions",411332090.1
"Assessed contributions",2014,"ICAO","R01","Assessed contributions",78023303.19
"Assessed contributions",2014,"ILO","R01","Assessed contributions",400630000
"Assessed contributions",2014,"IMO","R01","Assessed contributions",46764124.8
"Assessed contributions",2014,"IOM","R01","Assessed contributions",46232121
"Assessed contributions",2014,"ITC","R01","Assessed contributions",40511000
"Assessed contributions",2014,"ITU","R01","Assessed contributions",111195154.2
"Assessed contributions",2014,"PAHO","R01","Assessed contributions",105620000
"Assessed contributions",2014,"UN","R01","Assessed contributions",2611733160
"Assessed contributions",2014,"UNEP","R01","Assessed contributions",187997093
"Assessed contributions",2014,"UNESCO","R01","Assessed contributions",367213296
"Assessed contributions",2014,"UNHABITAT","R01","Assessed contributions",12489000
"Assessed contributions",2014,"UNHCR","R01","Assessed contributions",41024200
"Assessed contributions",2014,"UNIDO","R01","Assessed contributions",87727645.75
"Assessed contributions",2014,"UNODC","R01","Assessed contributions",31015950
"Assessed contributions",2014,"UNWOMEN","R01","Assessed contributions",7652000
"Assessed contributions",2014,"UNWTO","R01","Assessed contributions",15766096.01
"Assessed contributions",2014,"UPU","R01","Assessed contributions",36056734.49
"Assessed contributions",2014,"WHO","R01","Assessed contributions",492911698
"Assessed contributions",2014,"WIPO","R01","Assessed contributions",18134225.27
"Assessed contributions",2014,"WMO","R01","Assessed contributions",66109342.5
"Assessed contributions",2014,"WTO","R01","Assessed contributions",198826778.7
"Assessed contributions",2015,"DPKO","R01","Assessed contributions",8503612000
"Assessed contributions",2015,"FAO","R01","Assessed contributions",496622670.7
"Assessed contributions",2015,"IAEA","R01","Assessed contributions",377494582.1
"Assessed contributions",2015,"ICAO","R01","Assessed contributions",67646342.96
"Assessed contributions",2015,"ILO","R01","Assessed contributions",400630000
"Assessed contributions",2015,"IMO","R01","Assessed contributions",44625254.81
"Assessed contributions",2015,"IOM","R01","Assessed contributions",43148345
"Assessed contributions",2015,"ITC","R01","Assessed contributions",37156000
"Assessed contributions",2015,"ITU","R01","Assessed contributions",127595358.2
"Assessed contributions",2015,"PAHO","R01","Assessed contributions",105620000
"Assessed contributions",2015,"UN","R01","Assessed contributions",2771359326
"Assessed contributions",2015,"UNEP","R01","Assessed contributions",222817431
"Assessed contributions",2015,"UNESCO","R01","Assessed contributions",341374604
"Assessed contributions",2015,"UNHABITAT","R01","Assessed contributions",16935000
"Assessed contributions",2015,"UNHCR","R01","Assessed contributions",48643700
"Assessed contributions",2015,"UNIDO","R01","Assessed contributions",77899231.23
"Assessed contributions",2015,"UNODC","R01","Assessed contributions",29003000
"Assessed contributions",2015,"UNWOMEN","R01","Assessed contributions",7505355
"Assessed contributions",2015,"UNWTO","R01","Assessed contributions",14647529.27
"Assessed contributions",2015,"UPU","R01","Assessed contributions",35911241.17
"Assessed contributions",2015,"WHO","R01","Assessed contributions",467499153
"Assessed contributions",2015,"WIPO","R01","Assessed contributions",17962325.93
"Assessed contributions",2015,"WMO","R01","Assessed contributions",65842583.25
"Assessed contributions",2015,"WTO","R01","Assessed contributions",198009349.1
"Assessed contributions",2016,"DPKO","R01","Assessed contributions",8282141000
"Assessed contributions",2016,"FAO","R01","Assessed contributions",487423968.3
"Assessed contributions",2016,"IAEA","R01","Assessed contributions",371183270.9
"Assessed contributions",2016,"ICAO","R01","Assessed contributions",77958246.68
"Assessed contributions",2016,"ILO","R01","Assessed contributions",398695000
"Assessed contributions",2016,"IMO","R01","Assessed contributions",36861689.11
"Assessed contributions",2016,"IOM","R01","Assessed contributions",45887855
"Assessed contributions",2016,"ITC","R01","Assessed contributions",37394000
"Assessed contributions",2016,"ITU","R01","Assessed contributions",119890731.7
"Assessed contributions",2016,"PAHO","R01","Assessed contributions",102392503
"Assessed contributions",2016,"UN","R01","Assessed contributions",2548597758
"Assessed contributions",2016,"UNEP","R01","Assessed contributions",189637685
"Assessed contributions",2016,"UNESCO","R01","Assessed contributions",322726978
"Assessed contributions",2016,"UNHABITAT","R01","Assessed contributions",14100000
"Assessed contributions",2016,"UNHCR","R01","Assessed contributions",36660700
"Assessed contributions",2016,"UNIDO","R01","Assessed contributions",71374501.05
"Assessed contributions",2016,"UNODC","R01","Assessed contributions",30142000
"Assessed contributions",2016,"UNWOMEN","R01","Assessed contributions",7615100
"Assessed contributions",2016,"UNWTO","R01","Assessed contributions",14210134.56
"Assessed contributions",2016,"UPU","R01","Assessed contributions",34821917.07
"Assessed contributions",2016,"WHO","R01","Assessed contributions",467725019
"Assessed contributions",2016,"WIPO","R01","Assessed contributions",16914146.34
"Assessed contributions",2016,"WMO","R01","Assessed contributions",66613365.85
"Assessed contributions",2016,"WTO","R01","Assessed contributions",191347844.9
"Assessed contributions",2017,"CTBTO","R01","Assessed contributions",119158506
"Assessed contributions",2017,"DPKO","R01","Assessed contributions",7853485000
"Assessed contributions",2017,"FAO","R01","Assessed contributions",473949640.3
"Assessed contributions",2017,"IAEA","R01","Assessed contributions",434492117.1
"Assessed contributions",2017,"ICAO","R01","Assessed contributions",79944443.63
"Assessed contributions",2017,"ICC","R01","Assessed contributions",167335329.7
"Assessed contributions",2017,"ILO","R01","Assessed contributions",369522195
"Assessed contributions",2017,"IMO","R01","Assessed contributions",40553794.08
"Assessed contributions",2017,"IOM","R01","Assessed contributions",49453975
"Assessed contributions",2017,"ITC","R01","Assessed contributions",35452560
"Assessed contributions",2017,"ITU","R01","Assessed contributions",125143149.3
"Assessed contributions",2017,"PAHO","R01","Assessed contributions",102392503
"Assessed contributions",2017,"UN","R01","Assessed contributions",2578222622
"Assessed contributions",2017,"UNEP","R01","Assessed contributions",198867270
"Assessed contributions",2017,"UNESCO","R01","Assessed contributions",316326778
"Assessed contributions",2017,"UNFCCC","R01","Assessed contributions",30521614.02
"Assessed contributions",2017,"UNFPA","R01","Assessed contributions",0
"Assessed contributions",2017,"UNHABITAT","R01","Assessed contributions",13563771.7
"Assessed contributions",2017,"UNHCR","R01","Assessed contributions",47754500
"Assessed contributions",2017,"UNICEF","R01","Assessed contributions",0
"Assessed contributions",2017,"UNIDO","R01","Assessed contributions",79728221.03
"Assessed contributions",2017,"UNODC","R01","Assessed contributions",30638000
"Assessed contributions",2017,"UNWOMEN","R01","Assessed contributions",8314200
"Assessed contributions",2017,"UNWTO","R01","Assessed contributions",16281150.54
"Assessed contributions",2017,"UPU","R01","Assessed contributions",36961495.91
"Assessed contributions",2017,"WHO","R01","Assessed contributions",456710549
"Assessed contributions",2017,"WIPO","R01","Assessed contributions",18230061.35
"Assessed contributions",2017,"WMO","R01","Assessed contributions",69814621.68
"Assessed contributions",2017,"WTO","R01","Assessed contributions",200499005.1
"Assessed contributions",2018,"CTBTO","R01","Assessed contributions",128036236.5
"Assessed contributions",2018,"DPKO","R01","Assessed contributions",7285707767
"Assessed contributions",2018,"FAO","R01","Assessed contributions",498851849.5
"Assessed contributions",2018,"IAEA","R01","Assessed contributions",413357595.9
"Assessed contributions",2018,"IARC","R01","Assessed contributions",25247537.67
"Assessed contributions",2018,"ICAO","R01","Assessed contributions",73216846.15
"Assessed contributions",2018,"ICC","R01","Assessed contributions",166034695.2
"Assessed contributions",2018,"ILO","R01","Assessed contributions",386793588.2
"Assessed contributions",2018,"IMO","R01","Assessed contributions",40289442.48
"Assessed contributions",2018,"IOM","R01","Assessed contributions",51869419
"Assessed contributions",2018,"ITC","R01","Assessed contributions",37359666
"Assessed contributions",2018,"ITU","R01","Assessed contributions",126840665.7
"Assessed contributions",2018,"OPCW","R01","Assessed contributions",71134824.2
"Assessed contributions",2018,"PAHO","R01","Assessed contributions",103225007
"Assessed contributions",2018,"UN","R01","Assessed contributions",2487339605
"Assessed contributions",2018,"UNEP","R01","Assessed contributions",246960551.4
"Assessed contributions",2018,"UNESCO","R01","Assessed contributions",336171018
"Assessed contributions",2018,"UNFCCC","R01","Assessed contributions",34974451
"Assessed contributions",2018,"UNHABITAT","R01","Assessed contributions",14430151.25
"Assessed contributions",2018,"UNHCR","R01","Assessed contributions",38642200
"Assessed contributions",2018,"UNICEF","R01","Assessed contributions",0
"Assessed contributions",2018,"UNIDO","R01","Assessed contributions",78026279.68
"Assessed contributions",2018,"UNODC","R01","Assessed contributions",34294000
"Assessed contributions",2018,"UNWOMEN","R01","Assessed contributions",8032000
"Assessed contributions",2018,"UNWTO","R01","Assessed contributions",15814227.17
"Assessed contributions",2018,"UPU","R01","Assessed contributions",36624460.99
"Assessed contributions",2018,"WHO","R01","Assessed contributions",500750945
"Assessed contributions",2018,"WIPO","R01","Assessed contributions",17589965.55
"Assessed contributions",2018,"WMO","R01","Assessed contributions",65686863.32
"Assessed contributions",2018,"WTO","R01","Assessed contributions",198698910.87
"Assessed contributions",2019,"CTBTO","R01","Assessed contributions",127055587
"Assessed contributions",2019,"DPKO","R01","Assessed contributions",6998394001
"Assessed contributions",2019,"FAO","R01","Assessed contributions",488822877.3
"Assessed contributions",2019,"IAEA","R01","Assessed contributions",411249668.9
"Assessed contributions",2019,"IARC","R01","Assessed contributions",25017299.11
"Assessed contributions",2019,"ICAO","R01","Assessed contributions",82950965.62
"Assessed contributions",2019,"ICC","R01","Assessed contributions",161835439.7
"Assessed contributions",2019,"ILO","R01","Assessed contributions",385772209.1
"Assessed contributions",2019,"IMO","R01","Assessed contributions",43567496.72
"Assessed contributions",2019,"IOM","R01","Assessed contributions",52927963.04
"Assessed contributions",2019,"ITC","R01","Assessed contributions",35887000
"Assessed contributions",2019,"ITLOS","R01","Assessed contributions",11451562.5
"Assessed contributions",2019,"ITU","R01","Assessed contributions",129728202.5
"Assessed contributions",2019,"OPCW","R01","Assessed contributions",73664862.75
"Assessed contributions",2019,"PAHO","R01","Assessed contributions",112047006
"Assessed contributions",2019,"UN","R01","Assessed contributions",3010252070
"Assessed contributions",2019,"UNEP","R01","Assessed contributions",223540849.31
"Assessed contributions",2019,"UNESCO","R01","Assessed contributions",256217158
"Assessed contributions",2019,"UNFCCC","R01","Assessed contributions",32860867.43
"Assessed contributions",2019,"UNHABITAT","R01","Assessed contributions",15295136.53
"Assessed contributions",2019,"UNHCR","R01","Assessed contributions",43298146
"Assessed contributions",2019,"UNIDO","R01","Assessed contributions",76297590.4
"Assessed contributions",2019,"UNODC","R01","Assessed contributions",32004000
"Assessed contributions",2019,"UNWOMEN","R01","Assessed contributions",10162257
"Assessed contributions",2019,"UNWTO","R01","Assessed contributions",16150122.77
"Assessed contributions",2019,"UPU","R01","Assessed contributions",37052902.56
"Assessed contributions",2019,"WHO","R01","Assessed contributions",490294103
"Assessed contributions",2019,"WIPO","R01","Assessed contributions",17756814.36
"Assessed contributions",2019,"WMO","R01","Assessed contributions",66514871.79
"Assessed contributions",2019,"WTO","R01","Assessed contributions",201144435.88
"Assessed contributions",2020,"CTBTO","R01","Assessed contributions",131283366
"Assessed contributions",2020,"DPKO","R01","Assessed contributions",6897950300
"Assessed contributions",2020,"FAO","R01","Assessed contributions",484573828.8
"Assessed contributions",2020,"IAEA","R01","Assessed contributions",463102390.2
"Assessed contributions",2020,"IARC","R01","Assessed contributions",26578737.42
"Assessed contributions",2020,"ICAO","R01","Assessed contributions",79737077.46
"Assessed contributions",2020,"ICC","R01","Assessed contributions",176293128.8
"Assessed contributions",2020,"ILO","R01","Assessed contributions",399158352.5
"Assessed contributions",2020,"IMO","R01","Assessed contributions",45122972.97
"Assessed contributions",2020,"IOM","R01","Assessed contributions",53582168
"Assessed contributions",2020,"ITC","R01","Assessed contributions",37144000
"Assessed contributions",2020,"ITLOS","R01","Assessed contributions",12625002.45
"Assessed contributions",2020,"ITU","R01","Assessed contributions",142401736.1
"Assessed contributions",2020,"OPCW","R01","Assessed contributions",73169272.39
"Assessed contributions",2020,"PAHO","R01","Assessed contributions",105275000
"Assessed contributions",2020,"UN","R01","Assessed contributions",2953043728.92
"Assessed contributions",2020,"UNEP","R01","Assessed contributions",241624848.34
"Assessed contributions",2020,"UNESCO","R01","Assessed contributions",262220298
"Assessed contributions",2020,"UNFCCC","R01","Assessed contributions",33714452
"Assessed contributions",2020,"UNHABITAT","R01","Assessed contributions",15540469.83
"Assessed contributions",2020,"UNHCR","R01","Assessed contributions",40092883.35
"Assessed contributions",2020,"UNICEF","R01","Assessed contributions",0
"Assessed contributions",2020,"UNIDO","R01","Assessed contributions",85229781.6
"Assessed contributions",2020,"UNODC","R01","Assessed contributions",33826790
"Assessed contributions",2020,"UNRWA","R01","Assessed contributions",30550904.46
"Assessed contributions",2020,"UNWOMEN","R01","Assessed contributions",9692128
"Assessed contributions",2020,"UNWTO","R01","Assessed contributions",17910234.37
"Assessed contributions",2020,"UPU","R01","Assessed contributions",42785730.46
"Assessed contributions",2020,"WHO","R01","Assessed contributions",465945680
"Assessed contributions",2020,"WIPO","R01","Assessed contributions",19876848.24
"Assessed contributions",2020,"WMO","R01","Assessed contributions",76881200.45
"Assessed contributions",2020,"WTO","R01","Assessed contributions",222111007.92
"Revenue from other activities",2010,"DPKO","R04","Revenue from other activities",102945000
"Revenue from other activities",2010,"FAO","R04","Revenue from other activities",27349000
"Revenue from other activities",2010,"IAEA","R04","Revenue from other activities",4276304.72
"Revenue from other activities",2010,"ICAO","R04","Revenue from other activities",16970351
"Revenue from other activities",2010,"ILO","R04","Revenue from other activities",16500000
"Revenue from other activities",2010,"IMO","R04","Revenue from other activities",21017203.84
"Revenue from other activities",2010,"IOM","R04","Revenue from other activities",61359439
"Revenue from other activities",2010,"ITC","R04","Revenue from other activities",1713000
"Revenue from other activities",2010,"ITU","R04","Revenue from other activities",26490943.36
"Revenue from other activities",2010,"PAHO","R04","Revenue from other activities",10864405
"Revenue from other activities",2010,"UN","R04","Revenue from other activities",154477000
"Revenue from other activities",2010,"UNAIDS","R04","Revenue from other activities",4794000
"Revenue from other activities",2010,"UNDP","R04","Revenue from other activities",463042000
"Revenue from other activities",2010,"UNEP","R04","Revenue from other activities",0
"Revenue from other activities",2010,"UNESCO","R04","Revenue from other activities",64535367
"Revenue from other activities",2010,"UNFPA","R04","Revenue from other activities",34900000
"Revenue from other activities",2010,"UNHABITAT","R04","Revenue from other activities",4062000
"Revenue from other activities",2010,"UNHCR","R04","Revenue from other activities",6561219.15
"Revenue from other activities",2010,"UNICEF","R04","Revenue from other activities",388695000
"Revenue from other activities",2010,"UNIDO","R04","Revenue from other activities",3996130.05
"Revenue from other activities",2010,"UNITAR","R04","Revenue from other activities",1355145.27
"Revenue from other activities",2010,"UNODC","R04","Revenue from other activities",5554967
"Revenue from other activities",2010,"UNOPS","R04","Revenue from other activities",90503201
"Revenue from other activities",2010,"UNRWA","R04","Revenue from other activities",17768000
"Revenue from other activities",2010,"UNU","R04","Revenue from other activities",24426000
"Revenue from other activities",2010,"UNWTO","R04","Revenue from other activities",823868.91
"Revenue from other activities",2010,"UPU","R04","Revenue from other activities",2575380
"Revenue from other activities",2010,"WFP","R04","Revenue from other activities",117179529.7
"Revenue from other activities",2010,"WHO","R04","Revenue from other activities",284757051
"Revenue from other activities",2010,"WIPO","R04","Revenue from other activities",282227968
"Revenue from other activities",2010,"WMO","R04","Revenue from other activities",8678194.56
"Revenue from other activities",2010,"WTO","R04","Revenue from other activities",3624466.41
"Revenue from other activities",2011,"DPKO","R04","Revenue from other activities",88387000
"Revenue from other activities",2011,"FAO","R04","Revenue from other activities",78001000
"Revenue from other activities",2011,"IAEA","R04","Revenue from other activities",4215325.13
"Revenue from other activities",2011,"ICAO","R04","Revenue from other activities",15858325.61
"Revenue from other activities",2011,"ILO","R04","Revenue from other activities",14900000
"Revenue from other activities",2011,"IMO","R04","Revenue from other activities",18464078.64
"Revenue from other activities",2011,"IOM","R04","Revenue from other activities",87308083
"Revenue from other activities",2011,"ITC","R04","Revenue from other activities",1662000
"Revenue from other activities",2011,"ITU","R04","Revenue from other activities",46052864
"Revenue from other activities",2011,"PAHO","R04","Revenue from other activities",8104775
"Revenue from other activities",2011,"UN","R04","Revenue from other activities",90137000
"Revenue from other activities",2011,"UNAIDS","R04","Revenue from other activities",4946000
"Revenue from other activities",2011,"UNDP","R04","Revenue from other activities",440793047
"Revenue from other activities",2011,"UNEP","R04","Revenue from other activities",0
"Revenue from other activities",2011,"UNESCO","R04","Revenue from other activities",68001863
"Revenue from other activities",2011,"UNFPA","R04","Revenue from other activities",38600000
"Revenue from other activities",2011,"UNHABITAT","R04","Revenue from other activities",3733000
"Revenue from other activities",2011,"UNHCR","R04","Revenue from other activities",45398729.85
"Revenue from other activities",2011,"UNICEF","R04","Revenue from other activities",429116000
"Revenue from other activities",2011,"UNIDO","R04","Revenue from other activities",2913105.41
"Revenue from other activities",2011,"UNITAR","R04","Revenue from other activities",1376042.83
"Revenue from other activities",2011,"UNODC","R04","Revenue from other activities",4981797
"Revenue from other activities",2011,"UNOPS","R04","Revenue from other activities",77509891
"Revenue from other activities",2011,"UNRWA","R04","Revenue from other activities",25634000
"Revenue from other activities",2011,"UNU","R04","Revenue from other activities",17185000
"Revenue from other activities",2011,"UNWOMEN","R04","Revenue from other activities",9047100
"Revenue from other activities",2011,"UNWTO","R04","Revenue from other activities",1504867.6
"Revenue from other activities",2011,"UPU","R04","Revenue from other activities",1950613
"Revenue from other activities",2011,"WFP","R04","Revenue from other activities",21774930.63
"Revenue from other activities",2011,"WHO","R04","Revenue from other activities",548455611
"Revenue from other activities",2011,"WIPO","R04","Revenue from other activities",282751040
"Revenue from other activities",2011,"WMO","R04","Revenue from other activities",3238092
"Revenue from other activities",2011,"WTO","R04","Revenue from other activities",2192423.2
"Revenue from other activities",2012,"DPKO","R04","Revenue from other activities",32351000
"Revenue from other activities",2012,"FAO","R04","Revenue from other activities",47142000
"Revenue from other activities",2012,"IAEA","R04","Revenue from other activities",3972652.94
"Revenue from other activities",2012,"ICAO","R04","Revenue from other activities",15769547.01
"Revenue from other activities",2012,"IFAD","R04","Revenue from other activities",66462000
"Revenue from other activities",2012,"ILO","R04","Revenue from other activities",19300000
"Revenue from other activities",2012,"IMO","R04","Revenue from other activities",19109032.57
"Revenue from other activities",2012,"IOM","R04","Revenue from other activities",95606670
"Revenue from other activities",2012,"ITC","R04","Revenue from other activities",1123000
"Revenue from other activities",2012,"ITU","R04","Revenue from other activities",64483362.17
"Revenue from other activities",2012,"PAHO","R04","Revenue from other activities",31879400
"Revenue from other activities",2012,"UN","R04","Revenue from other activities",165142929
"Revenue from other activities",2012,"UNAIDS","R04","Revenue from other activities",5670510
"Revenue from other activities",2012,"UNDP","R04","Revenue from other activities",348174484
"Revenue from other activities",2012,"UNEP","R04","Revenue from other activities",8240929
"Revenue from other activities",2012,"UNESCO","R04","Revenue from other activities",48190574
"Revenue from other activities",2012,"UNFPA","R04","Revenue from other activities",9000000
"Revenue from other activities",2012,"UNHABITAT","R04","Revenue from other activities",12649095
"Revenue from other activities",2012,"UNHCR","R04","Revenue from other activities",13572840.7
"Revenue from other activities",2012,"UNICEF","R04","Revenue from other activities",76443000
"Revenue from other activities",2012,"UNIDO","R04","Revenue from other activities",1911641.99
"Revenue from other activities",2012,"UNITAR","R04","Revenue from other activities",1309302.98
"Revenue from other activities",2012,"UNODC","R04","Revenue from other activities",10335169
"Revenue from other activities",2012,"UNOPS","R04","Revenue from other activities",683160000
"Revenue from other activities",2012,"UNRWA","R04","Revenue from other activities",46183176
"Revenue from other activities",2012,"UNU","R04","Revenue from other activities",17965000
"Revenue from other activities",2012,"UNWOMEN","R04","Revenue from other activities",5144000
"Revenue from other activities",2012,"UNWTO","R04","Revenue from other activities",2559290.27
"Revenue from other activities",2012,"UPU","R04","Revenue from other activities",9126650
"Revenue from other activities",2012,"WFP","R04","Revenue from other activities",162164685.6
"Revenue from other activities",2012,"WHO","R04","Revenue from other activities",116236390
"Revenue from other activities",2012,"WIPO","R04","Revenue from other activities",342114124.6
"Revenue from other activities",2012,"WMO","R04","Revenue from other activities",3769982.28
"Revenue from other activities",2012,"WTO","R04","Revenue from other activities",2429785.11
"Revenue from other activities",2013,"DPKO","R04","Revenue from other activities",47045000
"Revenue from other activities",2013,"FAO","R04","Revenue from other activities",78512000
"Revenue from other activities",2013,"IAEA","R04","Revenue from other activities",4262993.49
"Revenue from other activities",2013,"ICAO","R04","Revenue from other activities",14795940.46
"Revenue from other activities",2013,"ILO","R04","Revenue from other activities",14500000
"Revenue from other activities",2013,"IMO","R04","Revenue from other activities",20251629.77
"Revenue from other activities",2013,"IOM","R04","Revenue from other activities",112647455
"Revenue from other activities",2013,"ITC","R04","Revenue from other activities",1234000
"Revenue from other activities",2013,"ITU","R04","Revenue from other activities",79050267.7
"Revenue from other activities",2013,"PAHO","R04","Revenue from other activities",7443852
"Revenue from other activities",2013,"UN","R04","Revenue from other activities",79417878.9
"Revenue from other activities",2013,"UNAIDS","R04","Revenue from other activities",3126813
"Revenue from other activities",2013,"UNDP","R04","Revenue from other activities",316046094
"Revenue from other activities",2013,"UNEP","R04","Revenue from other activities",5447837.86
"Revenue from other activities",2013,"UNESCO","R04","Revenue from other activities",56128938.4
"Revenue from other activities",2013,"UNFPA","R04","Revenue from other activities",49000000
"Revenue from other activities",2013,"UNHABITAT","R04","Revenue from other activities",12851437.1
"Revenue from other activities",2013,"UNHCR","R04","Revenue from other activities",20076971.2
"Revenue from other activities",2013,"UNICEF","R04","Revenue from other activities",158359000
"Revenue from other activities",2013,"UNIDO","R04","Revenue from other activities",1447693.43
"Revenue from other activities",2013,"UNITAR","R04","Revenue from other activities",1665756.23
