"ï..agency","rev_type","sub_type","calendar_year","amount"
"FAO","Voluntary non-core (earmarked) contributions","R03A",2018,57472751.86
"FAO","Voluntary non-core (earmarked) contributions","R03A",2019,62440195.06
"FAO","Voluntary non-core (earmarked) contributions","R03A",2020,31691865.34
"FAO","Voluntary non-core (earmarked) contributions","R03B",2018,73453485.44
"FAO","Voluntary non-core (earmarked) contributions","R03B",2019,107578605.1
"FAO","Voluntary non-core (earmarked) contributions","R03C",2018,85916380.23
"FAO","Voluntary non-core (earmarked) contributions","R03C",2019,94880377.14
"FAO","Voluntary non-core (earmarked) contributions","R03C",2020,76142089.57
"FAO","Voluntary non-core (earmarked) contributions","R03D",2018,57541649.49
"FAO","Voluntary non-core (earmarked) contributions","R03D",2019,96253955.25
"FAO","Voluntary non-core (earmarked) contributions","R03D",2020,73141720.16
"FAO","Voluntary non-core (earmarked) contributions","R03E",2018,792181719.3
"FAO","Voluntary non-core (earmarked) contributions","R03E",2019,746812263.2
"FAO","Voluntary non-core (earmarked) contributions","R03E",2020,1063658364
"IAEA","Assessed contributions","R01",2010,392158607.8
"IAEA","Assessed contributions","R01",2011,402748848
"IAEA","Assessed contributions","R01",2012,428923951.9
"IAEA","Assessed contributions","R01",2013,451549548.5
"IAEA","Assessed contributions","R01",2014,411332090.1
"IAEA","Assessed contributions","R01",2015,377494582.1
"IAEA","Assessed contributions","R01",2016,371183270.9
"IAEA","Assessed contributions","R01",2017,434492117.1
"IAEA","Assessed contributions","R01",2018,413357595.9
"IAEA","Assessed contributions","R01",2019,411249668.9
"IAEA","Assessed contributions","R01",2020,463102390.2
"IAEA","Revenue from other activities","R04",2010,4276304.72
"IAEA","Revenue from other activities","R04",2011,4215325.13
"IAEA","Revenue from other activities","R04",2012,3972652.94
"IAEA","Revenue from other activities","R04",2013,4262993.49
"IAEA","Revenue from other activities","R04",2014,8472735.97
"IAEA","Revenue from other activities","R04",2015,4661955.14
"IAEA","Revenue from other activities","R04",2016,8980150.63
"IAEA","Revenue from other activities","R04",2017,7912684.59
"IAEA","Revenue from other activities","R04",2018,14591017.12
"IAEA","Revenue from other activities","R04",2019,11091216.52
"IAEA","Revenue from other activities","R04A",2020,13040490.8
"IAEA","Voluntary non-core (earmarked) contributions","R03",2010,201752551.6
"IAEA","Voluntary non-core (earmarked) contributions","R03",2011,296213464.6
"IAEA","Voluntary non-core (earmarked) contributions","R03",2012,208529877
"IAEA","Voluntary non-core (earmarked) contributions","R03",2013,227309637.4
"IAEA","Voluntary non-core (earmarked) contributions","R03",2014,205327791.4
"IAEA","Voluntary non-core (earmarked) contributions","R03",2015,235747741.8
"IAEA","Voluntary non-core (earmarked) contributions","R03",2016,251901739.5
"IAEA","Voluntary non-core (earmarked) contributions","R03",2017,259541532.7
"IAEA","Voluntary non-core (earmarked) contributions","R03E",2018,224855304.8
"IAEA","Voluntary non-core (earmarked) contributions","R03E",2019,213296350.9
"IAEA","Voluntary non-core (earmarked) contributions","R03E",2020,282632487.1
"IAEA","Voluntary non-core (earmarked) contributions","R03F",2018,15035388.13
"IAEA","Voluntary non-core (earmarked) contributions","R03F",2019,12499114.74
"IAEA","Voluntary non-core (earmarked) contributions","R03F",2020,12760384.05
"IARC","Assessed contributions","R01",2018,25247537.67
"IARC","Assessed contributions","R01",2019,25017299.11
"IARC","Assessed contributions","R01",2020,26578737.42
"IARC","Revenue from other activities","R04",2018,1608819.64
"IARC","Revenue from other activities","R04",2019,1626560.27
"IARC","Revenue from other activities","R04A",2020,2452558.28
"IARC","Voluntary core (un-earmarked) contributions","R02A",2018,444611.1
"IARC","Voluntary core (un-earmarked) contributions","R02A",2019,69486.61
"IARC","Voluntary core (un-earmarked) contributions","R02A",2020,154079.75
"IARC","Voluntary core (un-earmarked) contributions","R02B",2018,1312.9
"IARC","Voluntary core (un-earmarked) contributions","R02B",2019,103559.69
"IARC","Voluntary non-core (earmarked) contributions","R03E",2018,18127264.84
"IARC","Voluntary non-core (earmarked) contributions","R03E",2019,16084530.13
"IARC","Voluntary non-core (earmarked) contributions","R03E",2020,18506033.13
"ICAO","Assessed contributions","R01",2010,77483275
"ICAO","Assessed contributions","R01",2011,79081361.03
"ICAO","Assessed contributions","R01",2012,84495928.03
"ICAO","Assessed contributions","R01",2013,81951959.18
"ICAO","Assessed contributions","R01",2014,78023303.19
"ICAO","Assessed contributions","R01",2015,67646342.96
"ICAO","Assessed contributions","R01",2016,77958246.68
"ICAO","Assessed contributions","R01",2017,79944443.63
"ICAO","Assessed contributions","R01",2018,73216846.15
"ICAO","Assessed contributions","R01",2019,82950965.62
"ICAO","Assessed contributions","R01",2020,79737077.46
"ICAO","Revenue from other activities","R04",2010,16970351
"ICAO","Revenue from other activities","R04",2011,15858325.61
"ICAO","Revenue from other activities","R04",2012,15769547.01
"ICAO","Revenue from other activities","R04",2013,14795940.46
"ICAO","Revenue from other activities","R04",2014,17976357.72
"ICAO","Revenue from other activities","R04",2015,22635285.2
"ICAO","Revenue from other activities","R04",2016,19126535.45
"ICAO","Revenue from other activities","R04",2017,22266023.17
"ICAO","Revenue from other activities","R04",2018,27531509.16
"ICAO","Revenue from other activities","R04",2019,26004725.74
"ICAO","Revenue from other activities","R04A",2020,8387388.11
"ICAO","Revenue from other activities","R04B",2020,94982.79
"ICAO","Revenue from other activities","R04C",2020,13666860.72
"ICAO","Voluntary non-core (earmarked) contributions","R03",2010,128823470
"ICAO","Voluntary non-core (earmarked) contributions","R03",2011,110463340.3
"ICAO","Voluntary non-core (earmarked) contributions","R03",2012,112675247.5
"ICAO","Voluntary non-core (earmarked) contributions","R03",2013,132035781.2
"ICAO","Voluntary non-core (earmarked) contributions","R03",2014,130730140
"ICAO","Voluntary non-core (earmarked) contributions","R03",2015,106289972.6
"ICAO","Voluntary non-core (earmarked) contributions","R03",2016,100802180.2
"ICAO","Voluntary non-core (earmarked) contributions","R03",2017,114008476.4
"ICAO","Voluntary non-core (earmarked) contributions","R03A",2018,317606.59
"ICAO","Voluntary non-core (earmarked) contributions","R03B",2018,1003157.51
"ICAO","Voluntary non-core (earmarked) contributions","R03D",2018,127785755.3
"ICAO","Voluntary non-core (earmarked) contributions","R03D",2019,105555112.3
"ICAO","Voluntary non-core (earmarked) contributions","R03D",2020,58641096.24
"ICAO","Voluntary non-core (earmarked) contributions","R03E",2018,5670769.96
"ICAO","Voluntary non-core (earmarked) contributions","R03E",2019,12613210.08
"ICAO","Voluntary non-core (earmarked) contributions","R03E",2020,9345832.55
"ICC","Assessed contributions","R01",2017,167335329.7
"ICC","Assessed contributions","R01",2018,166034695.2
"ICC","Assessed contributions","R01",2019,161835439.7
"ICC","Assessed contributions","R01",2020,176293128.8
"ICC","Revenue from other activities","R04",2017,453912.78
"ICC","Revenue from other activities","R04",2018,652817.35
"ICC","Revenue from other activities","R04",2019,1312257.81
"ICC","Revenue from other activities","R04A",2020,1137177.91
"ICC","Voluntary non-core (earmarked) contributions","R03",2017,1985393.07
"ICC","Voluntary non-core (earmarked) contributions","R03E",2018,2326638.13
"ICC","Voluntary non-core (earmarked) contributions","R03E",2019,2230231.03
"ICC","Voluntary non-core (earmarked) contributions","R03E",2020,1737758.28
"IFAD","Revenue from other activities","R04",2012,66462000
"IFAD","Revenue from other activities","R04",2017,8512000
"IFAD","Revenue from other activities","R04",2018,64393000
"IFAD","Revenue from other activities","R04A",2020,79029000
"IFAD","Voluntary core (un-earmarked) contributions","R02",2010,354457000
"IFAD","Voluntary core (un-earmarked) contributions","R02",2011,237927000
"IFAD","Voluntary core (un-earmarked) contributions","R02",2012,580158000
"IFAD","Voluntary core (un-earmarked) contributions","R02",2013,416495000
"IFAD","Voluntary core (un-earmarked) contributions","R02",2014,352723000
"IFAD","Voluntary core (un-earmarked) contributions","R02",2015,221676000
"IFAD","Voluntary core (un-earmarked) contributions","R02",2016,418292000
"IFAD","Voluntary core (un-earmarked) contributions","R02",2017,306323000
"IFAD","Voluntary core (un-earmarked) contributions","R02A",2018,217842469
"IFAD","Voluntary core (un-earmarked) contributions","R02A",2019,450178000
"IFAD","Voluntary core (un-earmarked) contributions","R02A",2020,279619430.5
"IFAD","Voluntary non-core (earmarked) contributions","R03",2010,80241000
"IFAD","Voluntary non-core (earmarked) contributions","R03",2011,201487000
"IFAD","Voluntary non-core (earmarked) contributions","R03",2012,75222000
"IFAD","Voluntary non-core (earmarked) contributions","R03",2013,101529000
"IFAD","Voluntary non-core (earmarked) contributions","R03",2014,29691000
"IFAD","Voluntary non-core (earmarked) contributions","R03",2015,93422000
"IFAD","Voluntary non-core (earmarked) contributions","R03",2016,108504000
"IFAD","Voluntary non-core (earmarked) contributions","R03",2017,104016000
"IFAD","Voluntary non-core (earmarked) contributions","R03B",2018,1429000
"IFAD","Voluntary non-core (earmarked) contributions","R03B",2019,1390000
"IFAD","Voluntary non-core (earmarked) contributions","R03B",2020,1145922.55
"IFAD","Voluntary non-core (earmarked) contributions","R03C",2018,59662000
"IFAD","Voluntary non-core (earmarked) contributions","R03C",2019,40260000
"IFAD","Voluntary non-core (earmarked) contributions","R03C",2020,49931000
"IFAD","Voluntary non-core (earmarked) contributions","R03D",2018,8103791
"IFAD","Voluntary non-core (earmarked) contributions","R03D",2019,7973000
"IFAD","Voluntary non-core (earmarked) contributions","R03D",2020,8065000
"IFAD","Voluntary non-core (earmarked) contributions","R03E",2018,91893000
"IFAD","Voluntary non-core (earmarked) contributions","R03E",2019,84116000
"IFAD","Voluntary non-core (earmarked) contributions","R03E",2020,128303272.5
"ILO","Assessed contributions","R01",2010,408828555.4
"ILO","Assessed contributions","R01",2011,411423080.6
"ILO","Assessed contributions","R01",2012,430810000
"ILO","Assessed contributions","R01",2013,430834231
"ILO","Assessed contributions","R01",2014,400630000
"ILO","Assessed contributions","R01",2015,400630000
"ILO","Assessed contributions","R01",2016,398695000
"ILO","Assessed contributions","R01",2017,369522195
"ILO","Assessed contributions","R01",2018,386793588.2
"ILO","Assessed contributions","R01",2019,385772209.1
"ILO","Assessed contributions","R01",2020,399158352.5
"ILO","Revenue from other activities","R04",2010,16500000
"ILO","Revenue from other activities","R04",2011,14900000
"ILO","Revenue from other activities","R04",2012,19300000
"ILO","Revenue from other activities","R04",2013,14500000
"ILO","Revenue from other activities","R04",2014,21200000
"ILO","Revenue from other activities","R04",2015,13300000
"ILO","Revenue from other activities","R04",2016,18800000
"ILO","Revenue from other activities","R04",2017,20684803
"ILO","Revenue from other activities","R04",2018,49210897.17
"ILO","Revenue from other activities","R04",2019,47019587.47
"ILO","Revenue from other activities","R04A",2020,48255909.73
"ILO","Voluntary core (un-earmarked) contributions","R02A",2018,12726186.7
"ILO","Voluntary non-core (earmarked) contributions","R03",2010,248421000
"ILO","Voluntary non-core (earmarked) contributions","R03",2011,270638200
"ILO","Voluntary non-core (earmarked) contributions","R03",2012,271348100
"ILO","Voluntary non-core (earmarked) contributions","R03",2013,281183787
"ILO","Voluntary non-core (earmarked) contributions","R03",2014,277731337
"ILO","Voluntary non-core (earmarked) contributions","R03",2015,225040782
"ILO","Voluntary non-core (earmarked) contributions","R03",2016,252406812
"ILO","Voluntary non-core (earmarked) contributions","R03",2017,292995139
"ILO","Voluntary non-core (earmarked) contributions","R03A",2018,6719657.33
"ILO","Voluntary non-core (earmarked) contributions","R03A",2019,9347346.34
"ILO","Voluntary non-core (earmarked) contributions","R03A",2020,12172185.1
"ILO","Voluntary non-core (earmarked) contributions","R03B",2019,14520230.49
"ILO","Voluntary non-core (earmarked) contributions","R03B",2020,18452106.76
"ILO","Voluntary non-core (earmarked) contributions","R03C",2019,14408941.18
"ILO","Voluntary non-core (earmarked) contributions","R03D",2018,20830251.57
"ILO","Voluntary non-core (earmarked) contributions","R03D",2019,17851261.74
"ILO","Voluntary non-core (earmarked) contributions","R03D",2020,14423978.55
"ILO","Voluntary non-core (earmarked) contributions","R03E",2018,208258716.9
"ILO","Voluntary non-core (earmarked) contributions","R03E",2019,232184846.6
"ILO","Voluntary non-core (earmarked) contributions","R03E",2020,254299581.8
"ILO","Voluntary non-core (earmarked) contributions","R03F",2018,7386913.87
"ILO","Voluntary non-core (earmarked) contributions","R03F",2019,5929776.22
"IMO","Assessed contributions","R01",2010,42821762.69
"IMO","Assessed contributions","R01",2011,45229577.69
"IMO","Assessed contributions","R01",2012,46861421.67
"IMO","Assessed contributions","R01",2013,49867691.3
"IMO","Assessed contributions","R01",2014,46764124.8
"IMO","Assessed contributions","R01",2015,44625254.81
"IMO","Assessed contributions","R01",2016,36861689.11
"IMO","Assessed contributions","R01",2017,40553794.08
"IMO","Assessed contributions","R01",2018,40289442.48
"IMO","Assessed contributions","R01",2019,43567496.72
"IMO","Assessed contributions","R01",2020,45122972.97
"IMO","Revenue from other activities","R04",2010,21017203.84
"IMO","Revenue from other activities","R04",2011,18464078.64
"IMO","Revenue from other activities","R04",2012,19109032.57
"IMO","Revenue from other activities","R04",2013,20251629.77
"IMO","Revenue from other activities","R04",2014,20086601.54
"IMO","Revenue from other activities","R04",2015,18963259.26
"IMO","Revenue from other activities","R04",2016,16808714.81
"IMO","Revenue from other activities","R04",2017,18802636.61
"IMO","Revenue from other activities","R04",2018,20820544.88
"IMO","Revenue from other activities","R04",2019,20731834.86
"IMO","Revenue from other activities","R04A",2020,497051.35
"IMO","Revenue from other activities","R04C",2020,13781281.08
"IMO","Voluntary non-core (earmarked) contributions","R03",2010,10537559.48
"IMO","Voluntary non-core (earmarked) contributions","R03",2011,7827571.61
"IMO","Voluntary non-core (earmarked) contributions","R03",2012,12885661.56
"IMO","Voluntary non-core (earmarked) contributions","R03",2013,7690867.42
"IMO","Voluntary non-core (earmarked) contributions","R03",2014,7380612.13
"IMO","Voluntary non-core (earmarked) contributions","R03",2015,8452364.44
"IMO","Voluntary non-core (earmarked) contributions","R03",2016,5052627.91
"IMO","Voluntary non-core (earmarked) contributions","R03",2017,7485503.37
"IMO","Voluntary non-core (earmarked) contributions","R03A",2018,2176985.28
"IMO","Voluntary non-core (earmarked) contributions","R03A",2019,1577871.56
"IMO","Voluntary non-core (earmarked) contributions","R03B",2018,18356.51
"IMO","Voluntary non-core (earmarked) contributions","R03B",2019,1118754.92
"IMO","Voluntary non-core (earmarked) contributions","R03E",2018,9841857.74
"IMO","Voluntary non-core (earmarked) contributions","R03E",2019,12298542.6
"IMO","Voluntary non-core (earmarked) contributions","R03E",2020,16527429.65
"IOM","Assessed contributions","R01",2010,38154427
"IOM","Assessed contributions","R01",2011,41428265
"IOM","Assessed contributions","R01",2012,41693506
"IOM","Assessed contributions","R01",2013,43254527
"IOM","Assessed contributions","R01",2014,46232121
"IOM","Assessed contributions","R01",2015,43148345
"IOM","Assessed contributions","R01",2016,45887855
"IOM","Assessed contributions","R01",2017,49453975
"IOM","Assessed contributions","R01",2018,51869419
"IOM","Assessed contributions","R01",2019,52927963.04
"IOM","Assessed contributions","R01",2020,53582168
"IOM","Revenue from other activities","R04",2010,61359439
"IOM","Revenue from other activities","R04",2011,87308083
"IOM","Revenue from other activities","R04",2012,95606670
"IOM","Revenue from other activities","R04",2013,112647455
"IOM","Revenue from other activities","R04",2014,141028596
"IOM","Revenue from other activities","R04",2015,156663262
"IOM","Revenue from other activities","R04",2016,104739271
"IOM","Revenue from other activities","R04",2017,100289705
"IOM","Revenue from other activities","R04",2018,12941248
"IOM","Revenue from other activities","R04",2019,83463413.02
"IOM","Revenue from other activities","R04A",2020,12213847
"IOM","Revenue from other activities","R04B",2020,3554582.45
"IOM","Revenue from other activities","R04C",2020,65246182.55
"IOM","Voluntary core (un-earmarked) contributions","R02",2010,6489949
"IOM","Voluntary core (un-earmarked) contributions","R02",2011,8146560
"IOM","Voluntary core (un-earmarked) contributions","R02",2012,9231365
"IOM","Voluntary core (un-earmarked) contributions","R02",2013,7461677
"IOM","Voluntary core (un-earmarked) contributions","R02",2014,3642761
"IOM","Voluntary core (un-earmarked) contributions","R02",2015,6731290
"IOM","Voluntary core (un-earmarked) contributions","R02",2016,3455096
"IOM","Voluntary core (un-earmarked) contributions","R02",2017,14880494
"IOM","Voluntary core (un-earmarked) contributions","R02A",2018,30056364
"IOM","Voluntary core (un-earmarked) contributions","R02A",2019,28547116.87
"IOM","Voluntary core (un-earmarked) contributions","R02A",2020,31288649
"IOM","Voluntary non-core (earmarked) contributions","R03",2010,1050965901
"IOM","Voluntary non-core (earmarked) contributions","R03",2011,902138044
"IOM","Voluntary non-core (earmarked) contributions","R03",2012,1089320567
"IOM","Voluntary non-core (earmarked) contributions","R03",2013,1066004817
"IOM","Voluntary non-core (earmarked) contributions","R03",2014,1296159295
"IOM","Voluntary non-core (earmarked) contributions","R03",2015,1396868852
"IOM","Voluntary non-core (earmarked) contributions","R03",2016,1461551770
"IOM","Voluntary non-core (earmarked) contributions","R03",2017,1450077826
"IOM","Voluntary non-core (earmarked) contributions","R03A",2017,0
"IOM","Voluntary non-core (earmarked) contributions","R03A",2018,70731759
"IOM","Voluntary non-core (earmarked) contributions","R03A",2019,84396113.8
"IOM","Voluntary non-core (earmarked) contributions","R03A",2020,103137998.1
"IOM","Voluntary non-core (earmarked) contributions","R03B",2018,72440927
"IOM","Voluntary non-core (earmarked) contributions","R03C",2018,15495648
"IOM","Voluntary non-core (earmarked) contributions","R03C",2019,12354832.86
"IOM","Voluntary non-core (earmarked) contributions","R03C",2020,10413113.69
"IOM","Voluntary non-core (earmarked) contributions","R03D",2019,78447539.68
"IOM","Voluntary non-core (earmarked) contributions","R03D",2020,43875965.57
"IOM","Voluntary non-core (earmarked) contributions","R03E",2018,1602588925
"IOM","Voluntary non-core (earmarked) contributions","R03E",2019,1781159334
"IOM","Voluntary non-core (earmarked) contributions","R03E",2020,1853410941
"IOM","Voluntary non-core (earmarked) contributions","R03F",2018,6607590
"IOM","Voluntary non-core (earmarked) contributions","R03F",2019,5773273.41
"IOM","Voluntary non-core (earmarked) contributions","R03F",2020,5965810
"ITC","Assessed contributions","R01",2010,34588000
"ITC","Assessed contributions","R01",2011,38235000
"ITC","Assessed contributions","R01",2012,40490000
"ITC","Assessed contributions","R01",2013,38977000
"ITC","Assessed contributions","R01",2014,40511000
"ITC","Assessed contributions","R01",2015,37156000
"ITC","Assessed contributions","R01",2016,37394000
"ITC","Assessed contributions","R01",2017,35452560
"ITC","Assessed contributions","R01",2018,37359666
"ITC","Assessed contributions","R01",2019,35887000
"ITC","Assessed contributions","R01",2020,37144000
"ITC","Revenue from other activities","R04",2010,1713000
"ITC","Revenue from other activities","R04",2011,1662000
"ITC","Revenue from other activities","R04",2012,1123000
"ITC","Revenue from other activities","R04",2013,1234000
"ITC","Revenue from other activities","R04",2014,1164000
"ITC","Revenue from other activities","R04",2015,1663000
"ITC","Revenue from other activities","R04",2016,2516000
"ITC","Revenue from other activities","R04",2017,1240858
"ITC","Revenue from other activities","R04",2018,1842857
"ITC","Revenue from other activities","R04",2019,3467000
"ITC","Revenue from other activities","R04A",2020,2261000
"ITC","Revenue from other activities","R04C",2020,465000
"ITC","Voluntary core (un-earmarked) contributions","R02",2012,13352000
"ITC","Voluntary core (un-earmarked) contributions","R02",2013,17442000
"ITC","Voluntary core (un-earmarked) contributions","R02",2014,15094999
"ITC","Voluntary core (un-earmarked) contributions","R02",2015,6785000
"ITC","Voluntary core (un-earmarked) contributions","R02",2016,8877416
"ITC","Voluntary core (un-earmarked) contributions","R02",2017,28868663
"ITC","Voluntary core (un-earmarked) contributions","R02A",2018,27877540
"ITC","Voluntary core (un-earmarked) contributions","R02A",2019,7661000
"ITC","Voluntary core (un-earmarked) contributions","R02A",2020,8686854
"ITC","Voluntary non-core (earmarked) contributions","R03",2010,39985000
"ITC","Voluntary non-core (earmarked) contributions","R03",2011,43762000
"ITC","Voluntary non-core (earmarked) contributions","R03",2012,19861000
"ITC","Voluntary non-core (earmarked) contributions","R03",2013,26164000
"ITC","Voluntary non-core (earmarked) contributions","R03",2014,50480793
"ITC","Voluntary non-core (earmarked) contributions","R03",2015,25023000
"ITC","Voluntary non-core (earmarked) contributions","R03",2016,18003584
"ITC","Voluntary non-core (earmarked) contributions","R03",2017,61562342
"ITC","Voluntary non-core (earmarked) contributions","R03A",2018,2170305
"ITC","Voluntary non-core (earmarked) contributions","R03A",2019,2884000
"ITC","Voluntary non-core (earmarked) contributions","R03A",2020,1990637
"ITC","Voluntary non-core (earmarked) contributions","R03E",2018,48082532
"ITC","Voluntary non-core (earmarked) contributions","R03E",2019,72537000
"ITC","Voluntary non-core (earmarked) contributions","R03E",2020,66858485
"ITC","Voluntary non-core (earmarked) contributions","R03F",2018,2778994
"ITC","Voluntary non-core (earmarked) contributions","R03F",2019,2817000
"ITC","Voluntary non-core (earmarked) contributions","R03F",2020,3110812
"ITLOS","Assessed contributions","R01",2019,11451562.5
"ITLOS","Assessed contributions","R01",2020,12625002.45
"ITLOS","Voluntary non-core (earmarked) contributions","R03E",2019,252578.13
"ITLOS","Voluntary non-core (earmarked) contributions","R03E",2020,502860.12
"ITU","Assessed contributions","R01",2010,135355860.5
"ITU","Assessed contributions","R01",2011,135603039
"ITU","Assessed contributions","R01",2012,120165770.8
"ITU","Assessed contributions","R01",2013,123687054
"ITU","Assessed contributions","R01",2014,111195154.2
"ITU","Assessed contributions","R01",2015,127595358.2
"ITU","Assessed contributions","R01",2016,119890731.7
"ITU","Assessed contributions","R01",2017,125143149.3
"ITU","Assessed contributions","R01",2018,126840665.7
"ITU","Assessed contributions","R01",2019,129728202.5
"ITU","Assessed contributions","R01",2020,142401736.1
"ITU","Revenue from other activities","R04",2010,26490943.36
"ITU","Revenue from other activities","R04",2011,46052864
"ITU","Revenue from other activities","R04",2012,64483362.17
"ITU","Revenue from other activities","R04",2013,79050267.7
"ITU","Revenue from other activities","R04",2014,59387077.08
"ITU","Revenue from other activities","R04",2015,42623419.78
"ITU","Revenue from other activities","R04",2016,47178031.22
"ITU","Revenue from other activities","R04",2017,46562372.19
"ITU","Revenue from other activities","R04",2018,33870221.88
"ITU","Revenue from other activities","R04",2019,44733577.85
"ITU","Revenue from other activities","R04A",2020,1312893.55
"ITU","Revenue from other activities","R04C",2020,36975199.32
"ITU","Voluntary core (un-earmarked) contributions","R02",2015,59398.59
"ITU","Voluntary core (un-earmarked) contributions","R02",2016,382220.49
"ITU","Voluntary core (un-earmarked) contributions","R02",2017,655354.81
"ITU","Voluntary non-core (earmarked) contributions","R03",2010,11635068.8
