"year","agency","rev_type","sub_type","amount"
2010,"UNWTO","Revenue from other activities","R04",823868.91
2010,"UNWTO","Voluntary non-core (earmarked) contributions","R03",8313963.52
2010,"UPU","Assessed contributions","R01",37448157.73
2010,"UPU","Revenue from other activities","R04",2575380
2010,"WFP","Revenue from other activities","R04",117179529.7
2010,"WFP","Voluntary core (un-earmarked) contributions","R02",303833622.2
2010,"WFP","Voluntary non-core (earmarked) contributions","R03",3845170125
2010,"WHO","Assessed contributions","R01",472557200
2010,"WHO","Revenue from other activities","R04",284757051
2010,"WHO","Voluntary core (un-earmarked) contributions","R02",123538947
2010,"WHO","Voluntary non-core (earmarked) contributions","R03",1441730375
2010,"WIPO","Assessed contributions","R01",18296448
2010,"WIPO","Revenue from other activities","R04",282227968
2010,"WIPO","Voluntary non-core (earmarked) contributions","R03",9568832
2010,"WMO","Assessed contributions","R01",65680557.48
2010,"WMO","Revenue from other activities","R04",8678194.56
2010,"WMO","Voluntary non-core (earmarked) contributions","R03",24717747.09
2010,"WTO","Assessed contributions","R01",202102144
2010,"WTO","Revenue from other activities","R04",3624466.41
2010,"WTO","Voluntary non-core (earmarked) contributions","R03",30942764.64
2011,"DPKO","Assessed contributions","R01",7573269000
2011,"DPKO","Revenue from other activities","R04",88387000
2011,"DPKO","Voluntary non-core (earmarked) contributions","R03",32289000
2011,"FAO","Assessed contributions","R01",507463000
2011,"FAO","Revenue from other activities","R04",78001000
2011,"FAO","Voluntary non-core (earmarked) contributions","R03",899150947.1
2011,"IAEA","Assessed contributions","R01",402748848
2011,"IAEA","Revenue from other activities","R04",4215325.13
2011,"IAEA","Voluntary non-core (earmarked) contributions","R03",296213464.6
2011,"ICAO","Assessed contributions","R01",79081361.03
2011,"ICAO","Revenue from other activities","R04",15858325.61
2011,"ICAO","Voluntary non-core (earmarked) contributions","R03",110463340.3
2011,"IFAD","Voluntary core (un-earmarked) contributions","R02",237927000
2011,"IFAD","Voluntary non-core (earmarked) contributions","R03",201487000
2011,"ILO","Assessed contributions","R01",411423080.6
2011,"ILO","Revenue from other activities","R04",14900000
2011,"ILO","Voluntary non-core (earmarked) contributions","R03",270638200
2011,"IMO","Assessed contributions","R01",45229577.69
2011,"IMO","Revenue from other activities","R04",18464078.64
2011,"IMO","Voluntary non-core (earmarked) contributions","R03",7827571.61
2011,"IOM","Assessed contributions","R01",41428265
2011,"IOM","Revenue from other activities","R04",87308083
2011,"IOM","Voluntary core (un-earmarked) contributions","R02",8146560
2011,"IOM","Voluntary non-core (earmarked) contributions","R03",902138044
2011,"ITC","Assessed contributions","R01",38235000
2011,"ITC","Revenue from other activities","R04",1662000
2011,"ITC","Voluntary non-core (earmarked) contributions","R03",43762000
2011,"ITU","Assessed contributions","R01",135603039
2011,"ITU","Revenue from other activities","R04",46052864
2011,"ITU","Voluntary non-core (earmarked) contributions","R03",10918507.6
2011,"PAHO","Assessed contributions","R01",98325000
2011,"PAHO","Revenue from other activities","R04",8104775
2011,"PAHO","Voluntary non-core (earmarked) contributions","R03",652975711
2011,"UN","Assessed contributions","R01",2414656987
2011,"UN","Revenue from other activities","R04",90137000
2011,"UN","Voluntary non-core (earmarked) contributions","R03",1422298000
2011,"UNAIDS","Revenue from other activities","R04",4946000
2011,"UNAIDS","Voluntary core (un-earmarked) contributions","R02",241889000
2011,"UNAIDS","Voluntary non-core (earmarked) contributions","R03",22378000
2011,"UNDP","Revenue from other activities","R04",440793047
2011,"UNDP","Voluntary core (un-earmarked) contributions","R02",974803893
2011,"UNDP","Voluntary non-core (earmarked) contributions","R03",4083971707
2011,"UNEP","Assessed contributions","R01",226843565
2011,"UNEP","Revenue from other activities","R04",0
2011,"UNEP","Voluntary core (un-earmarked) contributions","R02",0
2011,"UNEP","Voluntary non-core (earmarked) contributions","R03",159437395
2011,"UNESCO","Assessed contributions","R01",356474652
2011,"UNESCO","Revenue from other activities","R04",68001863
2011,"UNESCO","Voluntary non-core (earmarked) contributions","R03",308945709
2011,"UNFPA","Revenue from other activities","R04",38600000
2011,"UNFPA","Voluntary core (un-earmarked) contributions","R02",450700000
2011,"UNFPA","Voluntary non-core (earmarked) contributions","R03",450601000
2011,"UNHABITAT","Revenue from other activities","R04",3733000
2011,"UNHABITAT","Voluntary core (un-earmarked) contributions","R02",29158557
2011,"UNHABITAT","Voluntary non-core (earmarked) contributions","R03",199653833
2011,"UNHCR","Assessed contributions","R01",44058600
2011,"UNHCR","Revenue from other activities","R04",45398729.85
2011,"UNHCR","Voluntary core (un-earmarked) contributions","R02",488455626.8
2011,"UNHCR","Voluntary non-core (earmarked) contributions","R03",1599819093
2011,"UNICEF","Revenue from other activities","R04",429116000
2011,"UNICEF","Voluntary core (un-earmarked) contributions","R02",629423000
2011,"UNICEF","Voluntary non-core (earmarked) contributions","R03",2633150000
2011,"UNIDO","Assessed contributions","R01",101168752.4
2011,"UNIDO","Revenue from other activities","R04",2913105.41
2011,"UNIDO","Voluntary non-core (earmarked) contributions","R03",249416515.8
2011,"UNITAR","Assessed contributions","R01",0
2011,"UNITAR","Revenue from other activities","R04",1376042.83
2011,"UNITAR","Voluntary core (un-earmarked) contributions","R02",444484.53
2011,"UNITAR","Voluntary non-core (earmarked) contributions","R03",19300905.39
2011,"UNODC","Revenue from other activities","R04",4981797
2011,"UNODC","Voluntary core (un-earmarked) contributions","R02",10239868
2011,"UNODC","Voluntary non-core (earmarked) contributions","R03",249080266
2011,"UNOPS","Revenue from other activities","R04",77509891
2011,"UNRWA","Revenue from other activities","R04",25634000
2011,"UNRWA","Voluntary core (un-earmarked) contributions","R02",378221909
2011,"UNRWA","Voluntary non-core (earmarked) contributions","R03",12181275
2011,"UNU","Revenue from other activities","R04",17185000
2011,"UNU","Voluntary non-core (earmarked) contributions","R03",48840000
2011,"UNWOMEN","Revenue from other activities","R04",9047100
2011,"UNWOMEN","Voluntary core (un-earmarked) contributions","R02",124614873
2011,"UNWOMEN","Voluntary non-core (earmarked) contributions","R03",102560888
2011,"UNWTO","Assessed contributions","R01",16107432.87
2011,"UNWTO","Revenue from other activities","R04",1504867.6
2011,"UNWTO","Voluntary non-core (earmarked) contributions","R03",5068644.16
2011,"UPU","Assessed contributions","R01",38366698.41
2011,"UPU","Revenue from other activities","R04",1950613
2011,"WFP","Revenue from other activities","R04",21774930.63
2011,"WFP","Voluntary core (un-earmarked) contributions","R02",494530070.9
2011,"WFP","Voluntary non-core (earmarked) contributions","R03",3219761073
2011,"WHO","Assessed contributions","R01",472557200
2011,"WHO","Revenue from other activities","R04",548455611
2011,"WHO","Voluntary core (un-earmarked) contributions","R02",125206756
2011,"WHO","Voluntary non-core (earmarked) contributions","R03",1378300467
2011,"WIPO","Assessed contributions","R01",18412680
2011,"WIPO","Revenue from other activities","R04",282751040
2011,"WIPO","Voluntary non-core (earmarked) contributions","R03",9100520
2011,"WMO","Assessed contributions","R01",66084590
2011,"WMO","Revenue from other activities","R04",3238092
2011,"WMO","Voluntary non-core (earmarked) contributions","R03",41963412.36
2011,"WTO","Assessed contributions","R01",205608260
2011,"WTO","Revenue from other activities","R04",2192423.2
2011,"WTO","Voluntary non-core (earmarked) contributions","R03",23483496.09
2012,"DPKO","Assessed contributions","R01",7923213000
2012,"DPKO","Revenue from other activities","R04",32351000
2012,"DPKO","Voluntary non-core (earmarked) contributions","R03",67893000
2012,"FAO","Assessed contributions","R01",511619509
2012,"FAO","Revenue from other activities","R04",47142000
2012,"FAO","Voluntary core (un-earmarked) contributions","R02",0
2012,"FAO","Voluntary non-core (earmarked) contributions","R03",774507947
2012,"IAEA","Assessed contributions","R01",428923951.9
2012,"IAEA","Revenue from other activities","R04",3972652.94
2012,"IAEA","Voluntary non-core (earmarked) contributions","R03",208529877
2012,"ICAO","Assessed contributions","R01",84495928.03
2012,"ICAO","Revenue from other activities","R04",15769547.01
2012,"ICAO","Voluntary non-core (earmarked) contributions","R03",112675247.5
2012,"IFAD","Revenue from other activities","R04",66462000
2012,"IFAD","Voluntary core (un-earmarked) contributions","R02",580158000
2012,"IFAD","Voluntary non-core (earmarked) contributions","R03",75222000
2012,"ILO","Assessed contributions","R01",430810000
2012,"ILO","Revenue from other activities","R04",19300000
2012,"ILO","Voluntary non-core (earmarked) contributions","R03",271348100
2012,"IMO","Assessed contributions","R01",46861421.67
2012,"IMO","Revenue from other activities","R04",19109032.57
2012,"IMO","Voluntary non-core (earmarked) contributions","R03",12885661.56
2012,"IOM","Assessed contributions","R01",41693506
2012,"IOM","Revenue from other activities","R04",95606670
2012,"IOM","Voluntary core (un-earmarked) contributions","R02",9231365
2012,"IOM","Voluntary non-core (earmarked) contributions","R03",1089320567
2012,"ITC","Assessed contributions","R01",40490000
2012,"ITC","Revenue from other activities","R04",1123000
2012,"ITC","Voluntary core (un-earmarked) contributions","R02",13352000
2012,"ITC","Voluntary non-core (earmarked) contributions","R03",19861000
2012,"ITU","Assessed contributions","R01",120165770.8
2012,"ITU","Revenue from other activities","R04",64483362.17
2012,"ITU","Voluntary non-core (earmarked) contributions","R03",11024664.88
2012,"PAHO","Assessed contributions","R01",106245000
2012,"PAHO","Revenue from other activities","R04",31879400
2012,"PAHO","Voluntary non-core (earmarked) contributions","R03",778855156
2012,"UN","Assessed contributions","R01",2412019632
2012,"UN","Revenue from other activities","R04",165142929
2012,"UN","Voluntary core (un-earmarked) contributions","R02",0
2012,"UN","Voluntary non-core (earmarked) contributions","R03",1387715057
2012,"UNAIDS","Revenue from other activities","R04",5670510
2012,"UNAIDS","Voluntary core (un-earmarked) contributions","R02",217419512
2012,"UNAIDS","Voluntary non-core (earmarked) contributions","R03",30454003
2012,"UNDP","Revenue from other activities","R04",348174484
2012,"UNDP","Voluntary core (un-earmarked) contributions","R02",884356544
2012,"UNDP","Voluntary non-core (earmarked) contributions","R03",3856822208
2012,"UNEP","Assessed contributions","R01",181791079
2012,"UNEP","Revenue from other activities","R04",8240929
2012,"UNEP","Voluntary non-core (earmarked) contributions","R03",371328095
2012,"UNESCO","Assessed contributions","R01",352970673
2012,"UNESCO","Revenue from other activities","R04",48190574
2012,"UNESCO","Voluntary non-core (earmarked) contributions","R03",391039291
2012,"UNFPA","Revenue from other activities","R04",9000000
2012,"UNFPA","Voluntary core (un-earmarked) contributions","R02",437500000
2012,"UNFPA","Voluntary non-core (earmarked) contributions","R03",533600000
2012,"UNHABITAT","Assessed contributions","R01",12227000
2012,"UNHABITAT","Revenue from other activities","R04",12649095
2012,"UNHABITAT","Voluntary core (un-earmarked) contributions","R02",10949737
2012,"UNHABITAT","Voluntary non-core (earmarked) contributions","R03",135680168
2012,"UNHCR","Assessed contributions","R01",11855800
2012,"UNHCR","Revenue from other activities","R04",13572840.7
2012,"UNHCR","Voluntary core (un-earmarked) contributions","R02",699010882.5
2012,"UNHCR","Voluntary non-core (earmarked) contributions","R03",1712425313
2012,"UNICEF","Revenue from other activities","R04",76443000
2012,"UNICEF","Voluntary core (un-earmarked) contributions","R02",1208296000
2012,"UNICEF","Voluntary non-core (earmarked) contributions","R03",2702678000
2012,"UNIDO","Assessed contributions","R01",101561632.7
2012,"UNIDO","Revenue from other activities","R04",1911641.99
2012,"UNIDO","Voluntary non-core (earmarked) contributions","R03",189555275.5
2012,"UNITAR","Assessed contributions","R01",0
2012,"UNITAR","Revenue from other activities","R04",1309302.98
2012,"UNITAR","Voluntary core (un-earmarked) contributions","R02",309077.63
2012,"UNITAR","Voluntary non-core (earmarked) contributions","R03",19710700.99
2012,"UNODC","Revenue from other activities","R04",10335169
2012,"UNODC","Voluntary core (un-earmarked) contributions","R02",31586007
2012,"UNODC","Voluntary non-core (earmarked) contributions","R03",320964713
2012,"UNOPS","Revenue from other activities","R04",683160000
2012,"UNRWA","Revenue from other activities","R04",46183176
2012,"UNRWA","Voluntary core (un-earmarked) contributions","R02",544074925
2012,"UNRWA","Voluntary non-core (earmarked) contributions","R03",375847094
2012,"UNU","Revenue from other activities","R04",17965000
2012,"UNU","Voluntary non-core (earmarked) contributions","R03",51238000
2012,"UNWOMEN","Assessed contributions","R01",7235000
2012,"UNWOMEN","Revenue from other activities","R04",5144000
2012,"UNWOMEN","Voluntary core (un-earmarked) contributions","R02",114086000
2012,"UNWOMEN","Voluntary non-core (earmarked) contributions","R03",93676000
2012,"UNWTO","Assessed contributions","R01",14630626.35
2012,"UNWTO","Revenue from other activities","R04",2559290.27
2012,"UNWTO","Voluntary core (un-earmarked) contributions","R02",696661.83
2012,"UNWTO","Voluntary non-core (earmarked) contributions","R03",5380726.17
2012,"UPU","Assessed contributions","R01",38463101
2012,"UPU","Revenue from other activities","R04",9126650
2012,"UPU","Voluntary non-core (earmarked) contributions","R03",20927951.62
2012,"WFP","Revenue from other activities","R04",162164685.6
2012,"WFP","Voluntary core (un-earmarked) contributions","R02",497615344.3
2012,"WFP","Voluntary non-core (earmarked) contributions","R03",3551627160
2012,"WHO","Assessed contributions","R01",474609150
2012,"WHO","Revenue from other activities","R04",116236390
2012,"WHO","Voluntary core (un-earmarked) contributions","R02",130200014
2012,"WHO","Voluntary non-core (earmarked) contributions","R03",1572821240
2012,"WIPO","Assessed contributions","R01",19263724.05
2012,"WIPO","Revenue from other activities","R04",342114124.6
2012,"WIPO","Voluntary non-core (earmarked) contributions","R03",11415871.62
2012,"WMO","Assessed contributions","R01",71628942.8
2012,"WMO","Revenue from other activities","R04",3769982.28
2012,"WMO","Voluntary non-core (earmarked) contributions","R03",27374686.08
2012,"WTO","Assessed contributions","R01",214890545.2
2012,"WTO","Revenue from other activities","R04",2429785.11
2012,"WTO","Voluntary non-core (earmarked) contributions","R03",24080912.46
2013,"DPKO","Assessed contributions","R01",7257894000
2013,"DPKO","Revenue from other activities","R04",47045000
2013,"DPKO","Voluntary non-core (earmarked) contributions","R03",30274000
2013,"FAO","Assessed contributions","R01",511619509
2013,"FAO","Revenue from other activities","R04",78512000
2013,"FAO","Voluntary non-core (earmarked) contributions","R03",743557586.8
2013,"IAEA","Assessed contributions","R01",451549548.5
2013,"IAEA","Revenue from other activities","R04",4262993.49
2013,"IAEA","Voluntary non-core (earmarked) contributions","R03",227309637.4
2013,"ICAO","Assessed contributions","R01",81951959.18
2013,"ICAO","Revenue from other activities","R04",14795940.46
2013,"ICAO","Voluntary non-core (earmarked) contributions","R03",132035781.2
2013,"IFAD","Voluntary core (un-earmarked) contributions","R02",416495000
2013,"IFAD","Voluntary non-core (earmarked) contributions","R03",101529000
2013,"ILO","Assessed contributions","R01",430834231
2013,"ILO","Revenue from other activities","R04",14500000
2013,"ILO","Voluntary non-core (earmarked) contributions","R03",281183787
2013,"IMO","Assessed contributions","R01",49867691.3
2013,"IMO","Revenue from other activities","R04",20251629.77
2013,"IMO","Voluntary non-core (earmarked) contributions","R03",7690867.42
2013,"IOM","Assessed contributions","R01",43254527
2013,"IOM","Revenue from other activities","R04",112647455
2013,"IOM","Voluntary core (un-earmarked) contributions","R02",7461677
2013,"IOM","Voluntary non-core (earmarked) contributions","R03",1066004817
2013,"ITC","Assessed contributions","R01",38977000
2013,"ITC","Revenue from other activities","R04",1234000
2013,"ITC","Voluntary core (un-earmarked) contributions","R02",17442000
2013,"ITC","Voluntary non-core (earmarked) contributions","R03",26164000
2013,"ITU","Assessed contributions","R01",123687054
2013,"ITU","Revenue from other activities","R04",79050267.7
2013,"ITU","Voluntary non-core (earmarked) contributions","R03",19498554.36
2013,"PAHO","Assessed contributions","R01",106245000
2013,"PAHO","Revenue from other activities","R04",7443852
2013,"PAHO","Voluntary non-core (earmarked) contributions","R03",953873929
2013,"UN","Assessed contributions","R01",2606141142
2013,"UN","Revenue from other activities","R04",79417878.9
2013,"UN","Voluntary non-core (earmarked) contributions","R03",1439693424
2013,"UNAIDS","Revenue from other activities","R04",3126813
2013,"UNAIDS","Voluntary core (un-earmarked) contributions","R02",234555363
2013,"UNAIDS","Voluntary non-core (earmarked) contributions","R03",45786361
2013,"UNDP","Revenue from other activities","R04",316046094
2013,"UNDP","Voluntary core (un-earmarked) contributions","R02",932901778
2013,"UNDP","Voluntary non-core (earmarked) contributions","R03",3897009929
2013,"UNEP","Assessed contributions","R01",185153045.1
2013,"UNEP","Revenue from other activities","R04",5447837.86
2013,"UNEP","Voluntary non-core (earmarked) contributions","R03",440308986.8
2013,"UNESCO","Assessed contributions","R01",358615806.6
2013,"UNESCO","Revenue from other activities","R04",56128938.4
2013,"UNESCO","Voluntary non-core (earmarked) contributions","R03",369512959
2013,"UNFPA","Revenue from other activities","R04",49000000
2013,"UNFPA","Voluntary core (un-earmarked) contributions","R02",460000000
2013,"UNFPA","Voluntary non-core (earmarked) contributions","R03",504300000
2013,"UNHABITAT","Assessed contributions","R01",11965000
2013,"UNHABITAT","Revenue from other activities","R04",12851437.1
2013,"UNHABITAT","Voluntary core (un-earmarked) contributions","R02",8560203.29
2013,"UNHABITAT","Voluntary non-core (earmarked) contributions","R03",173124359.7
2013,"UNHCR","Assessed contributions","R01",38995500
2013,"UNHCR","Revenue from other activities","R04",20076971.2
2013,"UNHCR","Voluntary core (un-earmarked) contributions","R02",716452639.5
2013,"UNHCR","Voluntary non-core (earmarked) contributions","R03",2389066199
2013,"UNICEF","Revenue from other activities","R04",158359000
2013,"UNICEF","Voluntary core (un-earmarked) contributions","R02",1106378000
2013,"UNICEF","Voluntary non-core (earmarked) contributions","R03",3588431000
2013,"UNIDO","Assessed contributions","R01",105572550.2
2013,"UNIDO","Revenue from other activities","R04",1447693.43
2013,"UNIDO","Voluntary non-core (earmarked) contributions","R03",157189569
2013,"UNITAR","Revenue from other activities","R04",1665756.23
2013,"UNITAR","Voluntary core (un-earmarked) contributions","R02",347868.39
2013,"UNITAR","Voluntary non-core (earmarked) contributions","R03",19941729.9
2013,"UNODC","Revenue from other activities","R04",3224000
2013,"UNODC","Voluntary core (un-earmarked) contributions","R02",33791993
2013,"UNODC","Voluntary non-core (earmarked) contributions","R03",281790803
2013,"UNOPS","Revenue from other activities","R04",711170000
2013,"UNOPS","Voluntary non-core (earmarked) contributions","R03",5966000
2013,"UNRWA","Revenue from other activities","R04",56765877
2013,"UNRWA","Voluntary core (un-earmarked) contributions","R02",573378391
2013,"UNRWA","Voluntary non-core (earmarked) contributions","R03",548356794
2013,"UNU","Revenue from other activities","R04",37056000
2013,"UNU","Voluntary non-core (earmarked) contributions","R03",46037000
2013,"UNWOMEN","Assessed contributions","R01",8004344
2013,"UNWOMEN","Revenue from other activities","R04",5077423
2013,"UNWOMEN","Voluntary core (un-earmarked) contributions","R02",156958438
2013,"UNWOMEN","Voluntary non-core (earmarked) contributions","R03",118464741
2013,"UNWTO","Assessed contributions","R01",16621421.72
2013,"UNWTO","Revenue from other activities","R04",3526774.32
2013,"UNWTO","Voluntary core (un-earmarked) contributions","R02",811899.4
2013,"UNWTO","Voluntary non-core (earmarked) contributions","R03",2951106.88
2013,"UPU","Assessed contributions","R01",39503816
2013,"UPU","Revenue from other activities","R04",9373594.31
2013,"UPU","Voluntary non-core (earmarked) contributions","R03",21494209.58
2013,"WFP","Revenue from other activities","R04",154995558.5
2013,"WFP","Voluntary core (un-earmarked) contributions","R02",285710312.3
2013,"WFP","Voluntary non-core (earmarked) contributions","R03",4095142703
2013,"WHO","Assessed contributions","R01",474640515
2013,"WHO","Revenue from other activities","R04",78812010
2013,"WHO","Voluntary core (un-earmarked) contributions","R02",132389859
2013,"WHO","Voluntary non-core (earmarked) contributions","R03",1928574832
2013,"WIPO","Assessed contributions","R01",19786720.06
2013,"WIPO","Revenue from other activities","R04",367923532.7
2013,"WIPO","Voluntary non-core (earmarked) contributions","R03",10474027.31
2013,"WMO","Assessed contributions","R01",73592275.14
2013,"WMO","Revenue from other activities","R04",3948463.71
2013,"WMO","Voluntary non-core (earmarked) contributions","R03",33058329.68
2013,"WTO","Assessed contributions","R01",220405039.3
2013,"WTO","Revenue from other activities","R04",55701717.87
2013,"WTO","Voluntary non-core (earmarked) contributions","R03",23666380.8
2014,"DPKO","Assessed contributions","R01",7799929000
2014,"DPKO","Revenue from other activities","R04",54848000
2014,"DPKO","Voluntary non-core (earmarked) contributions","R03",144673000
2014,"FAO","Assessed contributions","R01",511974000
2014,"FAO","Revenue from other activities","R04",46392000
2014,"FAO","Voluntary core (un-earmarked) contributions","R02",0
2014,"FAO","Voluntary non-core (earmarked) contributions","R03",805308210.7
2014,"IAEA","Assessed contributions","R01",411332090.1
2014,"IAEA","Revenue from other activities","R04",8472735.97
2014,"IAEA","Voluntary non-core (earmarked) contributions","R03",205327791.4
2014,"ICAO","Assessed contributions","R01",78023303.19
2014,"ICAO","Revenue from other activities","R04",17976357.72
2014,"ICAO","Voluntary non-core (earmarked) contributions","R03",130730140
2014,"IFAD","Voluntary core (un-earmarked) contributions","R02",352723000
2014,"IFAD","Voluntary non-core (earmarked) contributions","R03",29691000
2014,"ILO","Assessed contributions","R01",400630000
2014,"ILO","Revenue from other activities","R04",21200000
2014,"ILO","Voluntary non-core (earmarked) contributions","R03",277731337
2014,"IMO","Assessed contributions","R01",46764124.8
2014,"IMO","Revenue from other activities","R04",20086601.54
2014,"IMO","Voluntary non-core (earmarked) contributions","R03",7380612.13
2014,"IOM","Assessed contributions","R01",46232121
2014,"IOM","Revenue from other activities","R04",141028596
2014,"IOM","Voluntary core (un-earmarked) contributions","R02",3642761
2014,"IOM","Voluntary non-core (earmarked) contributions","R03",1296159295
2014,"ITC","Assessed contributions","R01",40511000
2014,"ITC","Revenue from other activities","R04",1164000
2014,"ITC","Voluntary core (un-earmarked) contributions","R02",15094999
2014,"ITC","Voluntary non-core (earmarked) contributions","R03",50480793
2014,"ITU","Assessed contributions","R01",111195154.2
2014,"ITU","Revenue from other activities","R04",59387077.08
2014,"ITU","Voluntary non-core (earmarked) contributions","R03",11894309.82
2014,"PAHO","Assessed contributions","R01",105620000
2014,"PAHO","Revenue from other activities","R04",743790000
2014,"PAHO","Voluntary non-core (earmarked) contributions","R03",876244190
2014,"UN","Assessed contributions","R01",2611733160
2014,"UN","Revenue from other activities","R04",105841785.7
2014,"UN","Voluntary core (un-earmarked) contributions","R02",0
2014,"UN","Voluntary non-core (earmarked) contributions","R03",2320567967
2014,"UNAIDS","Revenue from other activities","R04",6867285
2014,"UNAIDS","Voluntary core (un-earmarked) contributions","R02",230347576
2014,"UNAIDS","Voluntary non-core (earmarked) contributions","R03",40431106
2014,"UNDP","Revenue from other activities","R04",356470483
2014,"UNDP","Voluntary core (un-earmarked) contributions","R02",834989960
2014,"UNDP","Voluntary non-core (earmarked) contributions","R03",3809455039
2014,"UNEP","Assessed contributions","R01",187997093
2014,"UNEP","Revenue from other activities","R04",6369268
2014,"UNEP","Voluntary non-core (earmarked) contributions","R03",507732408
2014,"UNESCO","Assessed contributions","R01",367213296
2014,"UNESCO","Revenue from other activities","R04",50109167
2014,"UNESCO","Voluntary non-core (earmarked) contributions","R03",365096234
2014,"UNFPA","Revenue from other activities","R04",61476000
2014,"UNFPA","Voluntary core (un-earmarked) contributions","R02",477389762.4
2014,"UNFPA","Voluntary non-core (earmarked) contributions","R03",529352644.6
